Philipine region I,Philipine Region II,Philipine Region III,Philipine Region IV-A,Philipine Region IV-B,Philipine Region V,Philipine Region VI,Philipine Region IX,Philipine Region X,Philipine Region XI,Phili ARMM,CAR,CARAGA,NCR
2.953926,3.232928,5.836376,5.815181,1.213633,3.404328,4.342776,3.925287,4.66066,3.95752,0.682832,2.998891,2.769993,12.037927
2.183336,2.297784,2.581158,2.155903,0.24895,1.498921,2.227064,2.243021,2.458154,5.597063,0.707219,3.427304,2.947556,6.065511
0.97241,5.423838,2.811325,5.07309,1.213633,2.845408,6.935715,5.067566,10.068598,9.40382,1.390052,4.391233,13.992014,8.500309
9.357156,13.733265,16.054144,12.302083,3.454186,3.074057,4.931357,2.222252,5.624256,4.975168,0.999862,6.640401,5.113832,21.641057
7.320599,13.572955,20.599942,8.885904,2.427266,4.268113,3.197428,6.189076,3.323424,8.913842,0.804767,11.888461,5.291396,16.255857
4.513452,16.164641,7.759914,10.293319,7.592986,6.554602,15.668989,12.461227,12.546417,13.775937,0.85354,12.477528,13.352785,9.35965
6.82522,9.324727,12.478337,8.163005,7.904174,2.311894,7.30159,8.286716,7.433457,10.21417,1.121796,10.817428,16.690981,7.991866
9.210377,11.408763,10.521918,12.353262,3.329711,3.048652,5.169971,9.948213,17.502056,8.065802,1.999723,10.335463,18.715206,11.13562
13.301839,18.115085,17.640652,19.652626,6.97061,6.122709,15.716712,12.668915,29.281529,15.3401,3.170293,31.64901,40.484507,9.30236
1.724652,2.271065,3.96216,3.339411,1.089158,2.972436,3.308782,4.984491,2.851458,3.655994,0.829154,2.62403,1.811149,8.571921
1.32101,1.629823,0.830245,2.040751,0.093356,1.422704,1.511222,1.536885,2.359828,4.183664,0.585285,1.98141,1.882174,4.189285
1.0458,2.351221,1.578288,3.428974,1.306989,2.261084,6.140335,4.589885,8.49538,8.574626,1.365665,4.819646,10.369716,4.22509
5.23598,6.231395,9.529202,6.817955,3.491033,1.950058,3.53785,2.391232,3.367244,3.801753,0.839944,5.902239,3.774279,13.777076
3.719351,7.493449,12.295744,6.723524,1.653647,2.950087,3.929205,4.864216,3.347892,8.77185,0.911939,6.060335,3.914067,12.642493
2.473549,10.753757,5.70296,7.711907,7.502659,4.975147,14.323597,12.916741,10.353307,25.610835,0.59996,9.485741,12.895452,7.075286
3.051313,4.075385,4.238796,3.519148,5.573404,1.300038,5.056308,6.110927,6.192632,7.677687,1.439904,7.588593,12.580929,3.699726
4.658217,7.493449,8.129752,8.933221,3.85851,2.175064,4.273598,9.176609,14.68815,6.806066,2.159856,6.745416,13.175028,8.301481
6.644278,10.701171,14.180552,13.088208,6.43085,4.050119,11.051869,9.197047,23.648115,13.389589,2.615826,17.97021,25.860798,7.448782
1.263857,1.130591,2.224559,2.215993,0.367477,1.200035,2.019392,5.804358,1.56751,3.041403,0.45597,2.793024,1.572616,4.968204
1.516629,1.919375,0.444912,2.052312,0.183739,1.050031,2.833411,2.186853,3.13502,4.821736,0.479968,2.002545,3.075338,3.016158
0.902755,1.998253,1.04352,3.04699,1.194301,1.800053,5.181542,5.272973,7.431159,7.4366,1.79988,4.690172,9.50559,3.213477
4.333225,6.073638,7.037696,4.847484,1.68427,1.02503,3.35,2.6978,2.573813,4.376652,0.623958,4.584775,2.690921,10.274668
3.159643,5.758124,8.137841,5.5148,2.051748,4.150122,4.61799,6.151802,5.225033,9.532201,0.551963,4.742871,3.949014,11.733418
2.166613,9.570581,3.858599,5.835867,6.216489,4.650137,14.448831,14.837902,7.121527,24.071589,0.575962,6.165732,12.371246,5.440359
1.97192,2.483559,2.284333,2.434358,2.741933,0.983964,4.220344,4.946947,9.387252,5.912095,0.920902,4.511119,11.656715,1.941487
3.197708,6.053674,5.85808,5.915553,3.495211,1.475946,3.773666,8.345459,11.158073,3.503464,2.077932,4.718527,8.974639,4.957727
5.276218,5.74323,7.298722,8.70918,7.562913,3.099486,10.212001,8.606883,19.40286,11.550482,2.621028,11.614835,20.356269,5.352958
0.657307,1.397002,1.727179,1.375134,0.180787,1.598941,2.233394,5.127933,1.142465,3.612947,0.708386,1.296299,1.47858,3.473876
0.728367,1.526354,0.596951,1.573351,0.120525,0.762572,2.680073,2.091392,1.447122,4.926746,0.306967,2.177782,2.063135,2.14257
0.604011,1.552224,0.85961,2.050312,0.994327,1.402148,4.020109,3.981689,4.893558,4.762521,1.416772,3.422228,6.670804,2.295116
4.796562,7.217843,4.218454,2.620187,1.386032,1.106959,2.387421,2.091392,1.827944,4.470566,0.425032,3.525932,3.060317,6.261297
3.286533,4.294487,5.332763,4.874911,1.898261,3.247081,6.00706,7.038339,5.388626,10.236683,1.180643,4.303711,2.406991,8.632685
2.700287,12.288442,3.072308,5.45098,4.308751,2.509108,13.862445,12.447806,5.331502,14.652507,1.015353,7.46668,8.286927,4.65957
1.954155,2.017891,1.520235,1.548574,2.922719,1.279153,3.311584,6.656258,7.464103,5.127465,1.416772,3.525932,15.370359,1.220364
3.712894,5.458655,4.130902,3.846658,2.048917,1.106959,3.311584,5.650781,8.016295,3.320992,1.723739,5.392602,5.742393,3.238124
4.672207,3.88056,4.250292,5.14746,5.935832,2.533707,9.210825,6.515491,15.175741,10.692863,3.046059,13.481505,15.43913,2.946901
1.817482,0.814374,1.941779,0.95667,0.889216,0.895347,1.893991,5.677467,1.217518,3.877223,0.882679,1.428216,0.980946,2.946666
2.149523,3.74103,0.939571,1.596481,0.296405,2.323063,5.924404,2.927753,1.367367,4.613177,0.696852,2.193331,3.247269,3.505987
0.699032,1.88324,0.767316,3.308738,1.570948,2.20207,8.045674,5.934635,8.241664,8.54425,2.717723,8.722318,5.716547,2.07358
5.40002,12.368304,3.609517,2.157078,1.185621,1.548709,2.894018,2.176033,2.65981,4.308025,0.58071,3.468524,1.826589,4.099413
5.854391,5.344329,5.40253,6.62357,2.104478,6.340026,10.697261,11.69123,7.623539,16.926949,1.509846,9.232395,3.687004,11.350122
3.914578,20.91923,3.648665,6.763719,10.848433,3.968566,25.318872,14.440945,7.848311,14.324184,1.254334,17.342621,9.065294,4.815616
3.582538,2.112282,1.518972,1.730537,3.764347,1.572907,5.197111,11.354934,10.021114,8.292949,2.485439,7.498133,23.441226,1.070895
5.819439,11.935668,3.664325,3.448887,3.290099,1.621304,3.681919,9.020645,7.82958,3.661821,1.509846,8.518287,6.79897,2.97395
3.634965,2.49402,2.341097,3.863241,5.157452,2.081077,10.818477,8.644785,13.467627,10.15976,3.553945,26.473001,17.014339,2.435092
3.827199,2.061384,5.488658,1.578201,0.800294,0.895347,4.272844,4.272937,1.741988,5.420932,0.650395,4.23364,1.623635,6.227561
5.225262,7.507509,2.505521,5.008808,0.53353,3.436197,12.409429,4.174026,2.472499,8.149348,1.207877,8.263249,3.111967,6.98469
1.800007,3.232046,1.315399,4.308062,2.934412,3.702382,17.788364,15.33114,17.363687,21.414475,4.413396,27.544162,9.369725,2.271388
17.086037,24.506129,8.240433,4.62099,3.323602,2.713393,4.009021,1.965225,2.892544,5.596859,0.548338,16.857501,2.328967,7.380028
15.006147,16.145509,12.99986,14.246555,4.63555,11.020183,25.156978,13.386878,10.925341,25.247661,2.239049,32.661408,5.855687,17.369902
19.423764,57.648228,9.71909,17.548975,28.046533,6.950094,69.44995,15.682884,7.590625,14.689548,1.233761,79.471076,10.912872,8.72856
5.792751,4.380564,2.849495,2.24157,4.664704,1.451903,11.878028,17.628651,20.671557,16.808233,3.609895,7.124301,32.239551,0.919149
16.879767,30.363569,6.315098,5.777736,7.696762,2.380169,6.393568,16.402817,12.233435,6.091219,2.513218,41.842726,8.983157,4.756763
