Temp,Dew point,wind_bearing,wind_speed,pressure,wind_gust,Electic_production, beer production,Alcohol sales, min temp,air passengers,avg. temp newyork,Delhi meantemp,Delhi humid.,Delhi windspeed,Delhi pressure
26,22.01,101,3.08,1008.45,6.42,72.5052,93.2,3459,20.7,112,38,10,84.5,0,1015.666667
25,22.06,105,2.94,1008.24,6.28,70.672,96,3458,17.9,118,36,7.4,92,2.98,1017.8
25,22.06,106,2.82,1007.9,6.08,62.4502,95.2,4002,18.8,132,40,7.166666667,87,4.633333333,1018.666667
24,21.87,106,2.63,1007.61,5.74,57.4714,77.1,4564,14.6,129,25,8.666666667,71.33333333,1.233333333,1017.166667
23,21.53,100,2.39,1007.51,5.3,55.3151,70.9,4221,15.8,121,20,6,86.83333333,3.7,1016.5
23,21.56,94,2.09,1008.03,4.47,58.0904,64.8,4529,15.8,135,33,7,82.8,1.48,1018
24,21.97,95,2.31,1008.61,4.07,62.6202,70.1,4466,15.8,148,38.5,7,78.6,6.3,1020
25,22.34,96,2.98,1008.97,4.65,63.2485,77.3,4137,17.4,148,38.5,8.857142857,63.71428571,7.142857143,1018.714286
25,22.35,99,3.44,1009.53,5.14,60.5846,79.5,4126,21.8,136,43.5,14,51.25,12.5,1017
27,22.21,102,3.49,1010,4.77,56.3154,100.6,4259,20,119,49.5,11,62,7.4,1015.666667
28,22.12,101,2.92,1009.99,3.52,58.0005,100.7,4240,16.2,104,33,15.71428571,51.28571429,10.57142857,1016.142857
30,21.71,91,2.21,1009.86,2.32,68.7145,107.1,4936,13.3,118,34.5,14,74,13.22857143,1015.571429
31,21.1,77,1.9,1009.39,1.9,73.3057,95.9,3031,16.7,115,26,15.83333333,75.16666667,4.633333333,1013.333333
32,20.52,60,2.03,1008.35,2.03,67.9869,82.8,3261,21.5,126,30,12.83333333,88.16666667,0.616666667,1015.166667
33,19.91,44,2.39,1007.24,2.4,62.2221,83.3,4160,25,141,42.5,14.71428571,71.85714286,0.528571429,1015.857143
33,19.46,36,2.77,1006.39,2.78,57.0329,80,4377,20.7,135,47,13.83333333,86.66666667,0,1016.666667
33,19.04,34,3.01,1006.08,3.01,55.8137,80.4,4307,20.6,125,36,16.5,80.83333333,5.25,1015.833333
33,18.88,38,3.04,1005.97,3.04,59.9005,67.5,4696,24.8,149,24.5,13.83333333,92.16666667,8.95,1014.5
32,19.81,42,2.96,1006.39,3.1,65.7655,75.7,4458,17.7,170,22,12.5,76.66666667,5.883333333,1021.666667
